tt0016338;nm0644054
tt0016392;nm0250559
tt0016461;nm0066024
tt0016473;nm0247361
tt0016473;nm0401968
tt0016491;nm0286120
tt0016544;nm0245386
tt0016548;nm0576373
tt0016559;nm0407970
tt0016559;nm0546531
tt0016630;nm0642063
tt0016634;nm0047720
tt0016634;nm0285391
tt0016643;nm0329467
tt0016654;nm1277876
tt0016664;nm0124878
tt0016664;nm0310980
tt0016664;nm0285831
tt0016664;nm1366309
tt0016690;nm0318829
tt0016690;nm0124287
tt0016690;nm0047720
tt0016762;nm0001966
tt0016762;nm0445229
tt0016804;nm0936079
tt0016804;nm0000802
tt0016804;nm0001485
tt0016822;nm0048408
tt0016827;nm0101956
tt0016832;nm0521120
tt0016847;nm0394806
tt0016847;nm0252473
tt0016854;nm0096152
tt0016854;nm0042553
tt0016871;nm0237708
tt0016884;nm0001256
tt0016914;nm0903189
tt0016914;nm0923377
tt0016939;nm0245386
tt0016939;nm1209936
tt0016947;nm0633260
tt0016947;nm0179247
tt0016953;nm0726166
tt0016971;nm0382454
tt0017004;nm0242642
tt0017004;nm0000315
tt0017028;nm0001966
tt0017029;nm0201660
tt0017075;nm0385062
tt0017082;nm0558629
tt0017082;nm0000315
tt0017103;nm0855935
tt0017119;nm0001966
tt0017120;nm0855935
tt0017136;nm0375609
tt0017136;nm0297054
tt0017159;nm0837133
tt0017159;nm0055823
tt0017159;nm0407970
tt0017159;nm0321712
tt0017159;nm0283901
tt0017184;nm0048262
tt0017184;nm0313867
tt0017184;nm0001966
tt0017184;nm0445229
tt0017196;nm0381642
tt0017196;nm0002193
tt0017196;nm0696866
tt0017226;nm0268190
tt0017271;nm0301567
tt0017271;nm0283901
tt0017293;nm0407970
tt0017293;nm0699133
tt0017293;nm0283901
tt0017329;nm0602914
tt0017354;nm0182537
tt0017374;nm0364711
tt0017374;nm0310980
tt0017374;nm0272059
tt0017378;nm0467507
tt0017378;nm0811868
tt0017378;nm0314046
tt0017378;nm0955567
tt0017382;nm0000315
tt0017409;nm0001485
tt0017409;nm0589105
tt0017410;nm0736777
tt0017410;nm0717066
tt0017419;nm0218781
tt0017419;nm0242642
tt0017419;nm0702947
tt0017419;nm0007220
tt0017423;nm0125432
tt0017423;nm0588928
tt0017448;nm0560410
tt0017448;nm0394806
