zz0000009;5.9;154
zz0000574;6.1;589
zz0001892;5.8;188
zz0002101;5.2;446
zz0002130;7.0;2237
zz0002423;6.8;753
zz0002445;6.2;273
zz0002452;6.7;198
zz0002461;5.5;225
zz0002646;6.6;331
zz0002844;7.0;1944
zz0003014;7.1;948
zz0003037;7.0;1349
zz0003131;6.5;124
zz0003165;7.0;1050
zz0003167;5.8;187
zz0003419;6.5;1768
zz0003489;6.2;474
zz0003637;6.4;378
zz0003643;6.4;1105
zz0003657;6.5;144
zz0003740;7.1;3073
zz0003772;6.0;929
zz0003883;7.5;303
zz0003930;6.9;1161
zz0003973;5.8;202
zz0004026;6.8;1040
zz0004066;7.0;503
zz0004099;5.2;415
zz0004134;6.6;456
zz0004150;5.8;402
zz0004181;6.1;1239
zz0004457;5.5;382
zz0004465;6.3;939
zz0004635;5.7;879
zz0004681;6.1;178
zz0004712;6.3;165
zz0004743;5.3;112
zz0004766;5.6;174
zz0004825;6.4;242
zz0004838;5.7;138
zz0004872;6.6;206
zz0004873;6.2;394
zz0004972;6.3;22213
zz0005060;6.4;894
zz0005078;6.6;2305
zz0005149;6.0;244
zz0005339;5.8;783
zz0005402;6.4;187
zz0005529;6.8;268
zz0005557;6.6;293
zz0005680;5.9;130
zz0005719;5.6;138
zz0005916;6.9;794
zz0005951;6.9;597
zz0005960;6.8;1110
zz0006206;7.3;4166
zz0006327;5.9;151
zz0006333;6.2;1501
zz0006509;4.5;559
zz0006517;6.0;283
zz0006589;6.8;123
zz0006688;6.4;143
zz0006731;5.3;609
zz0006736;6.6;166
zz0006745;5.7;479
zz0006753;6.6;147
zz0006780;6.8;836
zz0006809;5.9;127
zz0006826;5.6;837
zz0006864;7.8;13875
zz0006886;7.4;867
zz0007047;6.0;573
zz0007257;4.7;564
zz0007260;6.5;141
zz0007309;5.6;183
zz0007338;6.4;313
zz0007340;6.8;342
zz0007361;6.2;349
zz0007367;5.3;509
zz0007522;5.8;100
zz0007558;6.3;591
zz0007610;5.9;267
zz0007755;6.0;468
zz0007801;6.5;298
zz0008011;6.1;135
zz0008100;6.5;585
zz0008150;6.5;501
zz0008188;5.9;608
zz0008196;5.7;638
zz0008279;6.4;109
zz0008309;6.7;257
zz0008395;7.1;458
zz0008443;6.7;1266
zz0008489;6.4;130
zz0008499;6.1;770
zz0008519;5.7;727
zz0008634;6.2;372
zz0008652;6.0;108
zz0008663;7.4;1508
zz0008672;6.0;189
zz0008679;4.8;481
zz0008687;6.1;140
zz0008710;6.7;148
zz0008775;6.4;557
zz0008827;5.8;740
zz0008854;5.5;554
zz0008879;7.3;1518
zz0008891;7.0;782
zz0008930;6.0;116
zz0008950;6.0;267
zz0009014;5.9;134
zz0009062;6.2;515
zz0009086;5.4;281
zz0009150;6.4;906
zz0009153;6.1;112
zz0009241;5.1;594
zz0009326;6.5;119
zz0009356;5.2;616
zz0009369;5.9;1061
zz0009440;6.4;178
zz0009475;4.4;484
zz0009559;6.1;341
zz0009608;5.1;697
zz0009611;7.3;5895
zz0009652;6.7;1360
zz0009682;5.7;684
zz0009701;7.0;309
zz0009737;5.9;109
zz0009796;6.8;262
zz0009878;7.0;1122
zz0009892;5.9;963
zz0009893;7.2;1631
zz0009894;7.1;168
zz0009900;6.3;857
zz0009915;7.1;165
zz0009937;7.0;1325
zz0009968;7.3;9241
zz0009976;5.7;631
zz0010040;6.5;1306
zz0010060;5.9;814
zz0010071;6.6;1122
zz0010103;5.3;646
zz0010137;5.4;697
zz0010162;6.5;203
zz0010193;5.8;671
zz0010195;6.8;254
zz0010208;5.6;553
zz0010219;3.9;368
zz0010227;5.6;510
zz0010247;7.3;1176
zz0010267;6.7;929
zz0010281;6.9;1230
zz0010307;7.7;1417
zz0010323;8.1;55601
zz0010418;7.0;1712
zz0010456;6.0;172
zz0010466;6.6;145
zz0010484;6.9;166
zz0010559;6.3;137
zz0010598;6.6;776
zz0010600;7.4;1669
zz0010635;5.2;594
zz0010662;4.9;420
zz0010680;6.3;237
zz0010726;6.6;1051
zz0010755;6.9;157
zz0010806;7.0;1599
zz0010821;6.5;447
zz0010844;6.6;331
zz0010853;6.7;152
zz0010879;6.9;775
zz0010890;6.4;337
zz0010925;5.5;722
zz0010953;6.3;138
zz0010962;6.6;576
zz0010964;6.4;129
zz0010969;6.7;315
zz0011130;7.0;4753
zz0011157;6.6;717
zz0011193;6.6;291
zz0011217;6.4;308
zz0011221;6.0;848
zz0011237;7.2;6577
zz0011294;7.1;165
zz0011302;6.9;187
zz0011317;6.2;135
zz0011344;6.2;105
zz0011358;6.6;332
zz0011370;6.8;323
zz0011371;6.7;264
zz0011387;6.7;1102
zz0011414;4.9;142
zz0011415;5.9;105
zz0011439;7.1;2145
zz0011440;6.6;195
zz0011474;6.5;129
zz0011513;5.7;189
zz0011588;6.4;355
zz0011607;7.1;1032
zz0011623;6.1;149
zz0011641;6.5;153
zz0011647;5.7;123
zz0011652;6.1;1402
zz0011679;6.0;265
zz0011716;5.2;575
zz0011723;6.4;763
zz0011741;6.3;210
zz0011742;6.1;625
zz0011753;5.5;168
zz0011779;6.5;191
zz0011833;6.9;425
zz0011837;6.1;356
zz0011841;7.4;4961
zz0011865;6.7;1321
zz0011870;6.3;2465
zz0011904;6.8;1037
zz0011908;6.0;101
zz0011909;6.6;1208
zz0011948;6.9;364
zz0011960;7.0;1025
zz0011979;6.8;497
zz0012027;6.6;875
zz0012068;6.8;415
zz0012122;5.5;133
zz0012125;6.4;116
zz0012134;7.0;362
zz0012136;6.4;268
zz0012187;6.5;123
zz0012190;7.2;3058
zz0012249;7.0;382
zz0012281;6.8;209
zz0012313;6.7;286
zz0012314;6.6;239
zz0012334;6.8;215
zz0012349;8.3;109038
zz0012364;8.1;10054
zz0012382;6.1;268
zz0012397;6.7;276
zz0012408;6.5;338
zz0012465;7.0;311
zz0012486;6.2;237
zz0012494;7.7;5136
zz0012513;6.5;209
zz0012532;7.4;4678
zz0012538;6.5;469
zz0012631;6.7;130
zz0012642;6.9;941
zz0012645;6.8;123
zz0012650;6.4;217
zz0012651;6.2;1391
zz0012675;6.4;3055
zz0012699;5.8;109
zz0012745;6.9;135
zz0012752;6.9;846
zz0012755;6.8;163
zz0012763;6.8;1722
zz0012769;5.9;133
zz0012806;6.2;323
zz0012928;6.1;766
zz0012938;6.7;2216
zz0012952;6.4;1234
zz0012973;6.9;566
zz0012975;6.2;255
zz0013033;7.1;340
zz0013059;6.3;343
zz0013075;7.1;1194
zz0013085;6.1;336
zz0013134;6.2;151
zz0013140;7.0;3072
zz0013169;6.5;360
zz0013201;7.0;1618
zz0013223;4.9;225
zz0013332;6.7;268
zz0013367;5.4;226
zz0013372;6.2;415
zz0013386;6.6;293
zz0013402;6.7;333
zz0013404;6.4;310
zz0013442;7.9;86620
zz0013450;6.7;706
zz0013469;6.4;233
zz0013496;6.9;1528
zz0013515;6.7;452
zz0013556;7.2;1971
zz0013571;6.6;807
zz0013574;6.6;101
zz0013579;6.8;842
zz0013590;5.9;101
zz0013592;6.3;365
zz0013597;5.8;551
zz0013607;5.8;158
zz0013619;6.0;169
zz0013662;6.9;418
zz0013674;7.0;500
zz0013688;6.6;642
zz0013704;6.0;118
zz0013705;5.8;136
zz0013741;6.6;443
zz0013750;6.3;968
zz0013802;6.3;366
zz0013830;6.8;119
zz0013933;7.5;1103
zz0013951;6.6;505
zz0014029;6.6;1068
zz0014108;6.9;144
zz0014109;7.1;1085
zz0014142;7.2;4711
zz0014205;6.2;893
zz0014341;7.8;9902
zz0014358;7.4;4261
zz0014397;6.8;253
zz0014416;6.5;269
zz0014417;7.5;1889
zz0014429;8.1;17795
zz0014440;7.0;533
zz0014446;6.7;248
zz0014463;6.5;375
zz0014497;7.0;826
zz0014524;6.2;134
zz0014532;6.8;1915
